0,7,AP1;Total Cost: 9
1,3,5,AP5;Total Cost: 8
2,3,5,AP5;Total Cost: 10
3,5,AP5;Total Cost: 5
5,AP5;Total Cost: 3
6,5,AP5;Total Cost: 5
7,AP1;Total Cost: 6
8,9,AP4;Total Cost: 4
9,AP4;Total Cost: 2
11,AP4;Total Cost: 2
12,11,AP4;Total Cost: 3
13,12,11,AP4;Total Cost: 4
14,9,AP4;Total Cost: 5
15,AP1;Total Cost: 5
17,AP1;Total Cost: 8
18,AP1;Total Cost: 7
19,AP1;Total Cost: 8
20,22,23,AP2;Total Cost: 7
21,22,23,AP2;Total Cost: 7
22,23,AP2;Total Cost: 3
23,AP2;Total Cost: 1
25,23,AP2;Total Cost: 4
26,28,AP3;Total Cost: 3
27,31,28,AP3;Total Cost: 4
28,AP3;Total Cost: 2
30,AP3;Total Cost: 1
31,28,AP3;Total Cost: 3
32,35,36,AP4;Total Cost: 7
33,35,36,AP4;Total Cost: 7
34,36,AP4;Total Cost: 5
35,36,AP4;Total Cost: 4
36,AP4;Total Cost: 3
37,12,11,AP4;Total Cost: 5
38,40,22,23,AP2;Total Cost: 7
39,38,40,22,23,AP2;Total Cost: 8
40,22,23,AP2;Total Cost: 6
